cluster.id	value	variable	sample	epitope	sample.ind
cl56	1.51506666193774	median-channel-value	TCGA-06-0137-01A-01D-1490-08	CD86	161
cl19	0.233511839506269	median-channel-value	TCGA-05-4422-01A-01D-1265-08	KIT	91
cl100	0	median-channel-value	TCGA-02-0055-01A-01D-1490-08	FCGR1	9
cl63	0.0296939659937721	median-channel-value	TCGA-05-4250-01A-01R-1107-07	CD40L	101
cl110	0.436924101639299	median-channel-value	TCGA-04-1652-01A-01W-0639-09	CEAM1	21
cl173	0.401998480485752	median-channel-value	TCGA-04-1362-01A-01W-0492-08	KIT	34
cl101	0.0648380909379992	median-channel-value	TCGA-04-1342-01A-01W-0486-08	FCG3A	45
cl159	NA	median-channel-value	TCGA-05-4417-01A-22D-1855-08	MRC1	70
cl179	NA	median-channel-value	TCGA-05-4249-01A-01D-1105-08	PD1L1	67
cl65	1.14070457895159	median-channel-value	TCGA-04-1338-01A-01R-1564-13	IL7RA	53
cl95	NA	median-channel-value	TCGA-04-1343-01A-01W-0486-08	PD1L1	48
cl91	2.98569554255966	median-channel-value	TCGA-06-2563-01A-01D-1494-08	IL3RA	164
cl74	5.23808403862669	median-channel-value	TCGA-05-4249-01A-01D-1105-08	CD8A	67
cl142	0.652531704233447	median-channel-value	TCGA-04-1349-01A-01W-0492-08	CD86	58
cl58	2.60208722721556	median-channel-value	TCGA-04-1367-01A-01W-0492-08	CD4	32
cl17	3.65003917418829	median-channel-value	TCGA-05-4405-01A-21D-1855-08	CD7	110
cl25	0.454841250829672	median-channel-value	TCGA-06-5410-01A-01D-1696-08	CEAM1	153
cl130	NA	median-channel-value	TCGA-05-5420-01A-01D-1625-08	PD1L1	65
cl8	1.40585860329556	median-channel-value	TCGA-05-5425-01A-02R-1628-07	CD7	78
cl125	1.42794154457265	median-channel-value	TCGA-05-4402-01A-01R-1206-07	CD86	71
cl151	0	median-channel-value	TCGA-06-5411-01A-01D-1696-08	CD19	160
cl148	0.180570429138304	median-channel-value	TCGA-04-1353-01A-01D-1526-09	TNR5	27
cl113	3.37286778581896	median-channel-value	TCGA-05-5428-01A-01R-1628-07	IL2RA	94
cl108	4.73527374112329	median-channel-value	TCGA-05-4420-01A-01R-1206-07	FCERA	116
cl189	2.47262297509205	median-channel-value	TCGA-06-0137-01A-01D-1490-08	ITAM	161
cl49	0.0401653200591999	median-channel-value	TCGA-05-4422-01A-01R-1206-07	PD1L1	99
cl85	1.12303733363127	median-channel-value	TCGA-02-0055-01A-01R-1849-01	CD40L	7
cl159	NA	median-channel-value	TCGA-06-0241-01A-02D-1491-08	FCGR1	137
cl128	NA	median-channel-value	TCGA-06-0190-02A-01R-2005-01	KIT	158
cl187	NA	median-channel-value	TCGA-04-1644-01B-01D-1526-09	FCG3A	25
cl196	NA	median-channel-value	TCGA-05-4397-01A-01R-1206-07	KI67	130
cl188	NA	median-channel-value	TCGA-04-1353-01A-01D-1526-09	FCG3A	27
cl121	2.66418599038138	median-channel-value	TCGA-05-4420-01A-01R-1206-07	TNR5	116
cl153	1.17644729147749	median-channel-value	TCGA-04-1649-01A-01W-0639-09	PTPRC/CD45RA	40
cl173	0.0574826781856696	median-channel-value	TCGA-04-1341-01A-01W-0486-08	HAVR2	38
cl29	0	median-channel-value	TCGA-04-1369-01A-02D-1526-09	HAVR2	23
cl157	0.300865951393669	median-channel-value	TCGA-04-1361-01A-01R-1565-13	TBX21	50
cl90	0.201403030423896	median-channel-value	TCGA-06-0171-01A-02D-1491-08	CD4	142
cl97	0	median-channel-value	TCGA-06-1805-01A-01W-0643-08	CEAM1	136
cl65	0.107656542439976	median-channel-value	TCGA-04-1364-01A-01R-1565-13	CD14	35
cl136	NA	median-channel-value	TCGA-05-4397-01A-01R-1206-07	CD33	130
cl177	4.49709116191396	median-channel-value	TCGA-06-0238-01A-02R-1849-01	CD3E	152
cl42	0	median-channel-value	TCGA-05-5429-01A-01R-1628-07	CEAM1	121
cl28	4.43033419973373	median-channel-value	TCGA-05-4417-01A-22R-1858-07	DRA	122
cl160	2.00137614439292	median-channel-value	TCGA-04-1519-01A-01R-1565-13	CCR7	19
cl105	0	median-channel-value	TCGA-05-5423-01A-01D-1625-08	PD1L1	85
cl97	0.227323375559749	median-channel-value	TCGA-06-5859-01A-01R-1849-01	TNR5	139
cl181	3.17809569726458	median-channel-value	TCGA-04-1343-01A-01W-0486-08	IL2RA	48
cl85	NA	median-channel-value	TCGA-04-1514-01A-01R-1566-13	ITAX	43
cl186	NA	median-channel-value	TCGA-06-0241-01A-02D-1491-08	PDCD1	137
cl147	0	median-channel-value	TCGA-05-4398-01A-01D-1265-08	CD27	97
cl111	NA	median-channel-value	TCGA-02-2466-01A-01W-0837-08	PDCD1	10
cl19	0.0753409594792086	median-channel-value	TCGA-04-1338-01A-01R-1564-13	PDCD1	53
cl49	0	median-channel-value	TCGA-05-5420-01A-01R-1628-07	KIT	113
cl99	0.713207530054947	median-channel-value	TCGA-05-4395-01A-01D-1265-08	DRA	126
cl179	5.22364430702373	median-channel-value	TCGA-06-0189-01A-01D-1491-08	ITAX	163
cl62	0	median-channel-value	TCGA-05-4418-01A-01D-1265-08	CD1C	128
cl5	0	median-channel-value	TCGA-05-5425-01A-02R-1628-07	CEAM1	78
cl88	1.08512289610441	median-channel-value	TCGA-04-1519-01A-01R-1565-13	FCG3A	19
cl128	1.39195645653983	median-channel-value	TCGA-04-1349-01A-01W-0492-08	TBX21	58
cl73	0.228202397021617	median-channel-value	TCGA-05-5428-01A-01R-1628-07	FCERA	94
cl132	1.44589146209248	median-channel-value	TCGA-06-1805-01A-01W-0643-08	CD19	136
cl198	NA	median-channel-value	TCGA-06-0185-01A-01D-1491-08	IL3RA	145
cl176	NA	median-channel-value	TCGA-05-4250-01A-01R-1107-07	TRBM	101
cl80	0.175486087385486	median-channel-value	TCGA-05-4424-01A-22D-1855-08	CD86	111
